"PI","Entry","Country","Day","TRL","PRL","LRL","MSL","LSLPL","MAX","LED","PER","DIA","VOL","SurfaceArea","TRLUpper","TRLLower","CM","CMT","CMM","CMB","CP","CPT","CPM","CPB","CVA","DEP","WID","NWA","LRB","NLR","IRB","TRArea","TRAUpper","TRALower","RHZO","SOL","SOL2","LRA","ImageFlag","SDW","RDW","RSR","TDW","TRL_GR"
"PI183936","11","India",18,225.283354468759,43.5209744877094,182.636666939264,2.94045551826999,1.40282690637393,12.319110157137,2.0983230248425,375.152289971449,0.243320678537785,277.379620993395,31.81326228604,147.719835771845,75.629480066075,0.28064360793756,0.17330982986326,0.443585481747682,0.752760014016435,0.460876323968543,0.221003543374763,0.491644826312899,0.791987499018091,423.546979678903,38.0569666474207,18.9496754093849,2.7697741537586,138.843421778245,96.6018787032297,81.7897010457492,28.4951908058284,18.9512222663988,9.13080330129461,4645.37927547871,0.00704102027756963,147.845525908213,51.7080334855695,0.999738752947482,0.0437807262197987,0.0212361734769498,0.486489793743339,0.0639989359510412,24.7242325196772
"PI201869","13","Iran",18,271.770391173139,44.1947563743446,228.32616703699,3.23046892203957,1.4257384474338,15.1661957092336,2.15631257822908,399.71166476539,0.256422321592233,302.407534538033,34.9584660612465,187.346415175549,101.864286709153,0.282665376992807,0.147037277914893,0.432041839902027,0.752755627268031,0.50366944212621,0.218891994212932,0.491981491794529,0.789720235736534,552.336677588683,38.4812875411401,23.9674280106871,3.26931768977686,138.20812156248,100.59181001218,89.1251882017605,34.7688227173046,23.9773255343747,10.2704944098904,6238.41915052212,0.00741362096727373,138.067099761512,50.505515943413,0.999738752947482,0.0905549572989088,0.03880623627832,0.529941154207821,0.14317914676504,26.8479078703679
"PI213012","15","India",18,254.9034419152,43.2747749562284,212.358599127829,3.41810969031723,1.42819381995622,13.9768111843281,1.87609325475981,384.429039360291,0.248250833423896,259.123393284509,32.6583800036074,164.556847865102,88.6387685971522,0.308777296324529,0.153303187804407,0.462388084423837,0.752858885842065,0.481862091340279,0.212168660528441,0.494144677077952,0.791094408666415,436.337500784558,38.1398931135694,19.987697898226,3.13492361598015,137.444863342296,99.2969167081162,85.995404734697,34.4076269309109,22.4426037372418,11.0624104087946,5125.93512737377,0.00743878640748803,138.404563660323,49.3947620915367,0.999738752947482,0.0524268051319027,0.0299113801777546,0.533638252448499,0.0827162307006171,26.5197434548031
"PI254557","16","Afghanistan",18,222.198802171483,42.5389637092746,181.15623034919,2.76666100243884,1.53615334495351,12.2689937680312,2.18944357625546,368.099431337912,0.25302742654546,278.500243866316,32.2929657261429,147.675497490949,72.618803481181,0.281519010102045,0.163995097363753,0.430758462810943,0.752742210687001,0.464850599386789,0.215500203848145,0.49131482620924,0.791483265771263,421.326736660911,37.2565656359819,20.1767107924081,2.74617571986084,138.896180044457,97.237776331138,84.4016388887784,30.8090070179068,20.9240427526874,9.4195724027792,4538.31331378621,0.00708432799043191,147.123848164186,50.5143202825896,0.999738752947482,0.0496745157724562,0.0225369531381916,0.480943306385113,0.0711307190389164,24.9463209460555
"PI264686","17","Philippines",18,309.92430631222,45.8075221256299,231.755441780781,4.44359328991312,1.45220392017871,17.6241948770221,1.92770460597887,390.932855149755,0.248988752792796,283.223824560259,33.47426331154,202.174236105517,107.025090642695,0.316804870158568,0.167960681926534,0.466700408209728,0.753189890210409,0.495498706679804,0.217185801126297,0.496553523026592,0.789668543297715,591.884421307907,39.8736453673366,24.7547861778675,3.30426620508517,144.371944042475,104.686948257763,95.9979295447538,41.1807940700411,27.239759218469,12.8995269286219,5432.3669015923,0.00735996110992843,138.804898611041,49.9096389198477,0.999738752947482,0.0706369240140512,0.0466667310482909,0.583153059913204,0.121283890083993,29.4339572986859
"PI271401","18","India",18,266.721976812688,43.1635434878968,226.556832772344,3.12504538410574,1.60015604750697,15.2887032885894,2.20043847433474,410.036087172637,0.266905220405961,320.038642554096,35.8397047478514,183.257584726083,85.2281034018577,0.28798332150275,0.157195235386181,0.461174642427381,0.753456075287277,0.48549532509825,0.223472623780327,0.488681395060171,0.793101075977048,482.068405359158,37.6363705623303,22.2350198622864,3.25042816005667,144.099886485804,99.8516309983608,85.6755746878597,36.2262287144187,24.8581799216837,10.7401904229561,5396.55786618998,0.00716267441891066,147.22436339991,52.0397633644304,0.999738752947482,0.0936841467004777,0.0394662984318954,0.518853924802004,0.135235947510672,26.6600270566946
"PI305413","20","Iraq",18,230.984926498591,42.4664492078202,189.959421822774,3.07578491167543,1.54324592195397,12.7721547001338,1.85148714525563,391.137858788779,0.254445785207336,278.716356372385,33.1947193467277,148.778581044336,80.7475337057057,0.278005002431887,0.168740424931679,0.440079730036355,0.752128659111642,0.452895457025727,0.218080623774996,0.490925990959488,0.786401208990434,411.505337064016,37.4475521196041,19.5034135682752,2.8432623481533,140.578868865089,97.4545522853644,84.8703882630995,30.8953554949317,20.4255122724384,9.90771737484254,4806.28954111083,0.00723950721215838,141.875965033594,52.7428365366493,0.999738752947482,0.0538981130909259,0.0247475501705958,0.477771197504134,0.0785385658905614,26.1303382391406
"PI346315","22","India",18,244.443375610144,43.2610919557868,202.017033997315,3.53342495057978,1.3593069182874,13.841880767743,2.11114334349222,370.129497414895,0.24854059318354,257.573332487477,32.4073980216616,165.690024145376,78.2069844034266,0.293363567517396,0.156714028737455,0.440262184908681,0.752124024909008,0.489692904489417,0.218783686145442,0.491933677392066,0.785796747161131,450.568229440168,37.8639674849626,20.359750682901,2.99508600134461,131.043110800503,97.6306381726459,81.310909318966,33.8531633034592,22.9679975858068,10.2393093251118,4934.3700166028,0.00722302414641312,143.296290127859,51.3838291041739,0.999738752947482,0.0626491509022987,0.0311705369646203,0.506735005886699,0.0945133463961116,26.6843961333945
"PI362316","27","Korea",18,247.944962496656,43.2079580097197,206.064966859366,3.90928742914152,1.37426654105169,13.7964271597989,2.45040227946463,362.954750117722,0.250444672066687,278.241100164853,33.6050040043006,176.373688089313,75.0098590801622,0.288289007630727,0.178529674203242,0.447048253903759,0.752789241617157,0.458103067895581,0.223086529878426,0.487068122264505,0.788733515031096,483.220306801272,38.2239250747562,22.0365235031189,3.06649545861297,144.171229204949,98.5715438180413,83.6094929412331,34.3404904406568,24.2488183709825,9.57234021441923,4931.17271576275,0.00709529483262636,146.13043257447,50.6015587892394,0.999738752947482,0.0599441651673675,0.0276579600705975,0.495953557776701,0.0887113716259113,25.5971900186774
"PI362322","28","Korea",18,242.17115708963,42.581538334997,200.697120286644,3.52418024019079,1.40853607110383,14.1293980412019,2.43124478959946,379.401605055707,0.239929135716537,248.441879884158,30.1795286811941,167.962877304768,74.2250687427841,0.282731535054738,0.173015328809022,0.442550200061931,0.752220745873829,0.477551030694658,0.21637314750563,0.49422003842744,0.788755157943713,443.275150932132,37.3984165712055,20.8631970268473,2.97054114045025,137.176836897499,96.4683833210758,80.7672653768421,31.4374500182481,21.8897887139057,9.19507621626266,5004.97039656673,0.00717681627627372,143.5708539439,52.2875077880596,0.999738752947482,0.0505062341437133,0.0261710304896555,0.510945679642884,0.0763010790076908,25.5261640884341
"PI362324","29","Korea",18,239.12812968935,42.4576538683362,198.317784581411,3.10038079698318,1.52038047669453,13.6811574699662,2.03275737348928,367.138466713263,0.247260489657684,257.735023872032,31.281017699026,159.014482108772,80.6672221478939,0.300833883782055,0.175826974576143,0.45109765380907,0.75270975641675,0.489429012385043,0.216368198103469,0.492816867896752,0.789386902837091,420.53664602645,37.3156521828011,20.1567646118882,2.9188135734211,135.467326139287,97.4437894236258,84.295820698213,32.9707909478314,22.1671749960625,10.3373972006384,4739.41383970841,0.00726679228765013,141.281648533588,50.2689978963413,0.999738752947482,0.0673625327884324,0.0361589072768915,0.52654075543789,0.107466966275633,25.9536158238365
"PI362326","30","Korea",18,230.124352115692,43.1730538022215,191.376540702316,3.22090495448534,1.32956894869086,14.4215239844293,2.1171959601518,342.999178162279,0.243653901710053,254.536219055891,30.2058480795859,148.580480287238,81.2959498989972,0.289381209624646,0.175083008570122,0.456165438663988,0.752102945192515,0.48048804868852,0.217939495293179,0.497400726149349,0.787950619228272,411.729571954929,38.0751375043968,20.3398873029126,2.82521994805465,128.908819719426,96.0827976762223,78.130524576238,30.0864239568951,19.9567313599291,9.88813824653925,4606.81015343938,0.00703602622405188,142.599595257808,51.2827127658461,0.999738752947482,0.052906258917707,0.0265245623331418,0.506378231975851,0.0794935403198972,24.4567257806465
"PI362327","31","Korea",18,216.284236562755,41.8062476663972,175.96657879623,2.88467639013933,1.43006104707869,11.9247967347687,1.95534778715641,347.358778098006,0.246254798117985,259.931349649926,31.6137264086436,142.197219046705,74.6237572353508,0.283013216284395,0.166407831961678,0.463193397343889,0.752091528067628,0.461759053749439,0.219641367914936,0.490107198084867,0.793193204052165,382.69063288025,36.6986574104784,17.8781939635963,2.67321443998877,131.30601196996,96.9257261059269,80.9245300675819,28.6448739588807,19.0601812356692,9.20188799819838,4426.16251874741,0.00725110682034726,142.534895178895,51.2729239803301,0.999738752947482,0.0483267723163569,0.0282746126952243,0.546208529482152,0.0768644537044343,24.6362156741854
"PI363147","32","",18,210.958042125326,42.6675450068584,169.966366280432,2.59181886656966,1.47390942708464,11.642123717969,2.16994425741043,352.493786358924,0.238617031990831,243.629401422112,30.4959151912718,141.205475608254,70.3487524991869,0.286778564424361,0.171167591295099,0.44306266247955,0.752840738823573,0.450620308804101,0.216194755553664,0.4888254119439,0.793174492282297,379.326843330009,37.6134109303286,17.2847532249427,2.62995316871964,136.050058094207,98.8898538896608,84.3665851484914,27.0636667281009,18.2860416338674,8.53503545178394,4316.33869048657,0.00717832221624091,143.23284545773,50.0018440427614,0.999738752947482,0.0347006181975789,0.0286741932481647,0.550243853209524,0.0634327423935735,25.0756604697021
"PI363149","33","",18,238.877429575129,44.5529747751821,195.231578034785,2.82128620211105,1.52098340112178,12.654254596575,2.107764871488,383.94611675069,0.246784495232191,264.867453400585,32.2859507526857,160.053310873358,78.2926147403319,0.289932284659705,0.165573269733005,0.443198726302978,0.752397767744949,0.476279088529617,0.217370874672269,0.491612525412983,0.786428631686396,484.010822581539,39.2340189798215,21.6123491959278,2.91539020491818,144.028035948751,99.1267522171777,87.4118749637499,32.2212323520719,22.1871050897103,9.79972825537285,5051.96868466696,0.00699251027351337,149.520794243503,52.292880159608,0.999738752947482,0.0530591137488097,0.0254968745659458,0.500099850368393,0.0787984898530691,24.7976098079848
"PI363152","34","",18,207.336107383598,41.6119442895455,167.760660058422,2.66382037457344,1.41812702364066,11.3225649029906,1.92215253774695,347.055895689993,0.241816174349933,248.485660690839,30.2127103728132,134.942004070387,70.7742238262797,0.282958457779161,0.170751735481462,0.447098582559291,0.752133001712796,0.455780636017847,0.216897379991217,0.490712230963831,0.789829975299849,347.051439320675,36.4530514421722,15.9144603449877,2.57449426550863,134.325975935701,95.9383657790993,78.9416783818469,27.8077935829157,18.6674086319661,8.86396545246554,4226.96905314399,0.00723245442749158,142.039920800538,49.4532348908407,0.999738752947482,0.0357138758862504,0.0200325862941619,0.521659530736403,0.0537596295841132,24.7368397145305
"PI363153","35","India",18,242.311195626843,42.3010507199399,201.258161605566,3.12799038886581,1.55869345800498,13.6891324024491,1.7245855486215,389.995853865561,0.250513337993433,269.544533403606,32.8056636745596,161.827151290387,82.1407322640961,0.286821149876016,0.163995024656164,0.467564319507078,0.752668806826515,0.487098025128274,0.219922059161583,0.499055602468026,0.78917606669194,449.998282148389,37.1164963762219,20.7575311586878,2.97151060522648,136.740013059423,99.5513398640656,86.5299890483211,33.3726580262559,22.4457864955157,10.657329267024,4977.02791892131,0.00715811351302763,144.317580088363,50.2263841769453,0.999738752947482,0.0466533547297313,0.0301921936385705,0.579225884304667,0.077362812075186,24.6853788187986
"PI363190","36","India",18,228.281245736659,43.0240312830102,186.595559773311,2.70253712529468,1.58451139615313,12.2208744201446,1.97158422863306,379.508337179401,0.251206449217318,275.826895119687,33.2336080789794,149.884919060887,79.968022492065,0.291581025894849,0.167690353345659,0.438067641103684,0.752724944552023,0.477101350885241,0.215900744189961,0.493692547242358,0.786434265342563,406.544875183452,37.9230042332021,18.5204487229337,2.81367899383298,139.166048996635,99.9912750145116,87.9585628800651,30.7452621215198,20.2795205444421,10.0014129639398,4681.89427131074,0.00720085298329237,142.806771476704,51.3502071817243,0.999738752947482,0.0522246628302488,0.0262558998707088,0.508864159577466,0.0787749573079459,25.4062274341781
"PI363204","37","",18,295.285998096519,45.0788743650761,249.58379278081,3.5414958929012,1.56312503420191,15.7641691332582,1.97281819392564,406.359484329525,0.256703414880097,299.10338355186,36.3208644755632,195.861021211369,99.7494636592909,0.30262702450671,0.166663518546565,0.447315143604937,0.753011006717585,0.484949864292224,0.218094006824986,0.490189042426752,0.79023238202318,493.226359826901,39.3035442998114,21.3072545849221,3.61862995173664,143.479579092367,104.490679596333,94.3950586370363,39.006306887633,25.4174650363423,12.417888761014,5899.28453948924,0.00753285426389737,136.85044851225,49.7406252186251,0.999738752947482,0.0670520199985116,0.0342542080767821,0.521072706837752,0.102772656128045,28.1249162423345
"PI363271","40","India",18,226.66941262778,43.7564633838035,183.239398574626,2.86938726771443,1.43298244632693,11.8269949322494,2.08210290960634,368.762596316718,0.241917454435938,260.892125268009,31.7219026113595,151.137049487608,74.6790906935485,0.270408178530786,0.164495191119533,0.44854639328754,0.753174370813857,0.461573963777547,0.217867000678515,0.490983474834507,0.792592776166479,449.886751833477,38.9824481758771,20.2347124842029,2.77466950571377,136.847011086987,97.1568725737639,82.8347412874013,29.5368123731411,20.0395547801694,9.22312011794073,4631.44662379037,0.00705232363671964,148.792674193376,50.2964310453311,0.999738752947482,0.048021454392138,0.0217307450469414,0.477424404258519,0.0683781118064862,25.3275899654533
"PI363272","41","",18,262.524032944819,44.5755993225021,217.20432603254,3.23076489791217,1.47687543820372,13.7158021367358,1.86752943717509,392.449802349569,0.24131066724644,260.412328591514,31.5694083288371,169.648475092278,92.7816802031055,0.287468817860377,0.163959326122003,0.447842975530308,0.752227246660018,0.481031848132026,0.218762795321419,0.492137478895745,0.78658776069464,471.91229938764,39.0446200012701,20.7917657208275,3.2144555978742,138.015377671557,102.55397758783,89.7801407474298,35.5654034181063,23.415846347367,11.3331053392653,5280.33380414122,0.00718096132208178,143.476026886629,51.6760332553213,0.999738752947482,0.0622374792789078,0.0316204227118495,0.515301392750938,0.0948136053843394,26.1724992449958
"PI363301","42","India",18,236.446183308702,43.2325172584272,194.408728470062,3.92561106818557,1.28616074192773,13.6378130594506,2.23897440529984,372.801830837557,0.240790737249357,244.345010569377,30.079031874578,159.563985173053,74.8206469872118,0.312576571569853,0.174170162552262,0.448492653092683,0.752289172649959,0.467464532112734,0.219026968376584,0.487611886030445,0.789901887786518,438.29635284868,37.1610344909165,20.7229035567424,2.86165321589981,131.612007261676,94.4136763212658,76.3748255662157,30.7722331070897,21.1597136481531,9.30526715135906,4756.77868118629,0.007146987746016,144.793079098757,49.3027573987433,0.999738752947482,0.0505705152668246,0.0285673028637243,0.5271880459639,0.0796617091983063,24.8175110254696
"PI363302","43","Russia",18,237.159132646275,43.0310405738089,195.325210709999,2.9773839906592,1.4841956484606,13.4718804001113,2.27369991282019,375.639874036859,0.247645562180273,265.001081482602,32.0748811460907,161.904062793737,75.5385189920239,0.269273022596488,0.165633135498204,0.444586573697711,0.752523687203748,0.461521180214674,0.212610601997138,0.490872917310542,0.789253947608341,428.193237811847,37.9341815489927,19.6889831265126,2.90484504613879,137.079703190129,97.8841531739257,84.3285449181748,30.9651634168395,21.2743886017409,9.29819862094186,4854.09530533854,0.00720437920043272,142.914215837859,51.1006910582667,0.999738752947482,0.0620581080096433,0.0264548774951141,0.484309311337904,0.0892773109891731,25.1451884802344
"PI363315","44","India",18,227.885408703975,42.6567544754953,181.867569134429,2.74919913857612,1.42200368494446,12.5619499325345,1.96539753752111,363.811225425453,0.245978378918556,256.676012353475,35.0466738412498,147.218053410295,75.9801019373067,0.297389659764304,0.170118327870641,0.433729001718077,0.752518925107678,0.464794307081679,0.211123965396465,0.490895653285069,0.78588314497873,384.725139360379,38.0965459562815,17.587945038407,2.75249151039957,136.040935815433,98.6859970223637,86.3685545030787,31.5951652594459,21.2252941255421,10.125295435885,4545.51362770464,0.00723209932289202,141.95502203691,51.3654676529345,0.999738752947482,0.0477566667589231,0.0250520677305411,0.513825855567078,0.0727107362888314,25.3574177108935
"PI363324","45","India",18,253.267340653412,42.429899129069,211.892247801298,3.01242962455208,1.67721188096051,14.7885837673014,1.80394114037932,387.297309405437,0.258554622026425,282.715347235835,32.6739176353339,160.514819901733,91.4377107926864,0.31389623520501,0.17455691807837,0.461109691484448,0.752757394059484,0.488361057649795,0.214109564309474,0.49345726661077,0.791792725214331,430.696209266805,36.9374731663972,20.5499998218768,3.12697183724785,141.357941089205,101.901112685021,91.3168484273608,36.5337540436373,23.6564930560801,12.1694357800014,4979.4775331553,0.00739654541977192,138.806452104181,51.1091983802931,0.999738752947482,0.0620533474441693,0.0277066328668697,0.482607651843221,0.0902688120129776,27.3517295992395
"PI363326","46","India",18,226.231269929704,42.4763438857077,185.175507426047,3.044926924699,1.39115338372925,12.6719431476849,2.13176469790229,368.870973010609,0.241183137697762,248.536754309949,30.6738581445428,151.538050134927,74.1439642125386,0.273908361362241,0.165142850988183,0.438738693199332,0.752048981070882,0.45774134579882,0.217418583606279,0.486847289362503,0.787413834794764,410.254254823498,37.4689123732466,19.0351866991748,2.79563700053527,137.567929144337,97.1385293495702,81.2014806228442,29.3716177921292,19.800024133998,9.15978284247575,4661.83026574505,0.0071843569461881,143.306376236957,50.5512129551437,0.999738752947482,0.0403968656044428,0.021106104466755,0.495622316001892,0.0593485504226489,25.0834292562449
"PI363330","47","India",18,228.193993450148,42.4539663586529,187.576519161601,2.82578474176178,1.56135192259187,13.1984978420117,2.23169246259314,370.317234337762,0.249389848341963,262.44493512626,32.0344172202257,155.604247144289,73.3380526818933,0.268807852282748,0.164678081889561,0.436731992739715,0.752285139318066,0.463200230362746,0.216248212473621,0.487941644834194,0.787970135968934,384.693510231562,37.3173562856551,17.5803031500499,2.83373253131872,136.004613763174,98.2909066403225,85.2589935346398,30.072427749911,20.5096633240404,9.29008126688056,4639.33115317801,0.00735376855161065,139.544994470092,50.2738245307343,0.999738752947482,0.0445454006508692,0.0220266292494315,0.495800993331975,0.0656403639198251,25.1253381941549
"PI363332","48","India",18,213.30354760084,41.8021337337194,173.421000104169,2.7607960618164,1.44192679022721,12.1117906808673,2.00471449848757,346.696440573239,0.243208971381909,248.616205160342,30.9069674753526,140.987702586297,72.4414771179506,0.287750760909044,0.171212941545139,0.444802453056161,0.752162790570618,0.470555098162096,0.2193875453315,0.493615078457503,0.788769644284152,360.14614178271,36.7767377869115,16.6305873679706,2.6628590356805,135.627932564408,97.0641909474538,80.8420352963129,29.0705394598921,19.4748016918023,9.27487586612496,4346.79509272832,0.00739263055714984,139.042901001687,49.4236316587181,0.999738752947482,0.0492774166739592,0.0262659365929718,0.517706870715019,0.0755046164547533,25.1422801876139
