"PI","Country","ScavengerRanked","DTRanked"
"PI364070","India",95,112
"PI364119","India",56,45
"PI364123","India",58,30
"PI364205","India",190,188
"PI364213","India",48,98
"PI364214","India",157,135
"PI364218","India",106,141
"PI364224","India",212,206
"PI364225","India",76,111
"PI364230","India",187,200
"PI368266","India",170,123
"PI368275","India",100,123
"PI368277","India",129,191
"PI368285","India",60,120
"PI368302","India",36,130
"PI368305","India",59,117
"PI368329","India",157,101
"PI368330","India",167,137
"PI368332","India",142,85
"PI374130","India",204,182
"PI376849","Thailand",105,39
"PI376850","Thailand",128,198
"PI376856","Thailand",19,5
"PI376923","Philippines",25,54
"PI376951","India",231,221
"PI377022","United States",24,47
"PI377081","Afghanistan",37,2
"PI377147","Iran",55,65
"PI377193","India",124,227
"PI377197","India",173,177
"PI377202","India",137,125
"PI377203","India",223,157
"PI377207","India",197,193
"PI377208","India",93,100
"PI377217","India",149,86
"PI377228","India",161,189
"PI377232","India",116,13
"PI377233","India",230,202
"PI377235","India",118,128
"PI377236","India",225,190
"PI377242","India",117,82
"PI377244","India",155,172
"PI377248","India",197,142
"PI377249","India",220,28
"PI377250","India",155,50
"PI377255","India",198,196
"PI377259","India",195,160
"PI377261","India",175,181
"PI377262","India",230,225
"PI377263","India",138,119
"PI377265","India",216,210
"PI377267","India",77,50
"PI377268","India",193,179
"PI377271","India",149,184
"PI377274","India",144,192
"PI377281","India",97,94
"PI377283","India",71,23
"PI377284","India",176,223
"PI377286","India",63,75
"PI377287","India",42,43
"PI377288","India",221,224
"PI377296","India",146,64
"PI377298","India",184,102
"PI377299","India",205,60
"PI377304","India",87,176
"PI377306","India",165,159
"PI377308","India",136,220
"PI377312","India",166,179
"PI377316","India",187,218
"PI377338","India",189,217
"PI377349","India",211,220
"PI385297","India",218,231
"PI424964","Thailand",81,74
"PI425038","Philippines",97,215
"PI425045","Philippines",1,26
"PI425136","India",128,140
"PI425138","India",49,157
"PI425167","Australia",40,115
"PI425169","Australia",64,35
"PI425192","Australia",169,168
"PI425201","Australia",200,62
"PI425240","Philippines",5,62
"PI425254","India",164,164
"PI425259","India",111,125
"PI425261","Philippines",75,24
"PI425264","Philippines",57,90
"PI425269","Philippines",30,80
"PI425271","Pakistan",28,78
"PI425274","India",175,171
"PI425330","India",52,57
"PI425385","India",234,185
"PI425388","India",78,89
"PI425413","India",54,51
"PI425418","India",16,85
"PI425421","India",85,93
"PI425423","India",88,7
"PI425456","",123,155
"PI425463","",74,187
"PI425483","India",125,72
"PI425487","India",222,159
"PI425503","India",199,128
"PI425507","India",139,20
"PI425508","India",188,80
"PI425509","India",228,212
"PI425512","Philippines",158,139
"PI425513","Philippines",89,12
"PI425515","Philippines",14,38
"PI425518","United Kingdom",53,64
"PI425520","United Kingdom",113,71
"PI425527","United Kingdom",38,128
"PI425528","United Kingdom",100,103
"PI425529","United Kingdom",224,197
"PI425537","United Kingdom",22,67
"PI425540","United Kingdom",73,109
"PI425544","Korea",7,1
"PI425546","Korea",70,222
"PI425548","Korea",181,147
"PI425551","Korea",12,10
"PI425552","Korea",4,7
"PI425557","Korea",23,136
"PI425573","Korea",18,34
"PI425575","Korea",219,227
"PI425580","Korea",130,104
"PI425586","Korea",179,110
"PI425591","Philippines",79,131
"PI425592","Philippines",153,106
"PI425610","Afghanistan",233,217
"PI425634","Afghanistan",22,105
"PI425646","Afghanistan",27,175
"PI425725","Afghanistan",41,44
"PI425766","India",91,121
"PI425803","Korea",95,19
"PI425811","Korea",123,29
"PI425814","Korea",9,15
"PI425822","Philippines",33,36
"PI425823","Philippines",119,81
"PI425832","Philippines",201,200
"PI425840","Pakistan",149,66
"PI425841","Pakistan",85,115
"PI425842","Pakistan",183,98
"PI425852","India",178,144
"PI425859","United States",33,25
"PI425965","Iran",183,201
"PI426026","Thailand",11,4
"PI426029","Philippines",40,69
"PI426038","Australia",46,59
"PI426039","Australia",46,3
"PI426098","India",163,107
"PI426139","India",141,181
"PI426149","India",227,214
